n,l,m,spin,n_points,im_min,im_max,im_mean
2,1,1,0.50,100,-2.437731e+00,5.656629e-12,-5.600094e-02
2,1,1,0.70,100,-2.198285e+00,3.305975e-10,-3.046880e-02
2,1,1,0.90,100,-1.742505e-01,1.539066e-08,-1.066577e-02
2,1,1,0.95,100,-1.831847e-01,4.848956e-08,-1.104151e-02
2,1,1,0.99,100,-1.898314e-01,1.464902e-07,-1.080040e-02
3,2,1,0.50,100,-1.831140e-02,7.770603e-19,-7.648083e-04
3,2,1,0.70,100,-1.779896e-02,1.545541e-16,-6.733294e-04
3,2,1,0.90,100,-1.734065e-02,1.258349e-14,-6.040800e-04
3,2,1,0.95,100,-1.727610e-02,3.359939e-14,-5.740710e-04
3,2,1,0.99,100,-1.726007e-02,3.553155e-14,-5.579971e-04
3,2,2,0.50,100,-1.605965e-02,2.087236e-14,-5.917134e-04
3,2,2,0.70,100,-1.328108e-02,6.549458e-12,-3.879451e-04
3,2,2,0.90,100,-7.192634e-03,1.294613e-09,-1.406311e-04
3,2,2,0.95,100,-3.793224e-03,4.941078e-09,-5.679031e-05
3,2,2,0.99,100,-1.960473e-04,2.908744e-08,-2.096821e-06
